trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-303.97321413303547,"{0: 12, 1: 0, 2: 12, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-121.48792489565282,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-170.11856097962325,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-201.85159447825274,"{0: 16, 1: 0, 2: 0, 3: 7, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-256.4682456065064,"{0: 13, 1: 0, 2: 5, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-176.98685912294482,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-221.6879933449913,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-135.28437533380745,"{0: 24, 1: 0, 2: 0, 3: 4, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-45.19062888585856,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-68.88985882386915,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,14,7.872562227657097,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-100.62412293390636,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-117.60035186141961,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-200.96320307615423,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-129.01572893092336,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-71.66268464575302,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-141.21659976591798,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,-84.8721543466031,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,-28.681314010231073,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,9.872701531020503,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-96.9015627443515,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-34.460548689164895,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,10,13.1971161777599,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,0.24381254282961917,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-62.647773203528004,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,2.630844875216096,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-85.35068377326586,"{0: 30, 1: 0, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-131.4863091506855,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-46.82706759656644,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-182.09158781986835,"{0: 18, 1: 0, 2: 0, 3: 4, 4: 3}",0
