trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,13,9.231322530205807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0}",20,0,-130.17761314179404,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0}",20,0,13.199262628396786,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0}",25,0,6.198401226254269,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0}",35,0,9.940599002288666,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0}",20,0,18.722195368656678,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0}",20,0,26.626082863849113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0}",20,5,15.41684808755972,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0}",20,0,25.43260544437404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0}",20,8,-3.721615007117096,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0}",35,8,-0.7275044995778399,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0}",25,6,-33.35790593867633,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0}",25,0,35.706065368181655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",35,0,26.721890318761332,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",20,0,27.700043058409715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",20,0,26.091194357673768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0}",30,0,39.74609383374768,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0}",20,0,28.800152303408673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,36.600524086837275,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,34.682669282272194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,32.541509017933606,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,27.756006105421324,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-2.6901749633974923,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,27.678759684017287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,26.300710131240383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,31.58165500026996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,6.476812866717111,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,22.794819520696638,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,35.844828799670566,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,27.918760588544618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
