trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.05007574236635,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,4,-183.33537997542953,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 3}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,20,7.0419142137491715,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.87308443246218,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.63560065638586,"{0: 16, 1: 6, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.1338865280942,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.50234252537354,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.95461784306504,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.61550322019303,"{0: 15, 1: 5, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.87989631294602,"{0: 11, 1: 8, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.46261116928104,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.06342610484288,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-225.31840441479383,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.582468187763,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.4102939323527,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.05360684335562,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.194584159865325,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.5464046924912,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.24287291264065,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.12468779344552,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.28955645122727,"{0: 6, 1: 7, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.13079617681028,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-203.90614300744662,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.51648259042912,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.57764497078787,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-164.59209788238684,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,12,-57.113834692767355,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.96967447251764,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.0019690064313,"{0: 13, 1: 2, 2: 0, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.3508002438953,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
